Timestamp,AccelX,AccelY,AccelZ,Temperature
0,-0.462,-0.220,9.919,-127.00
10,-0.457,-0.223,9.914,-127.00
14,-0.457,-0.223,9.917,-127.00
17,-0.460,-0.225,9.922,-127.00
21,-0.457,-0.230,9.924,-127.00
25,-0.460,-0.225,9.924,-127.00
29,-0.462,-0.223,9.919,-127.00
33,-0.462,-0.220,9.912,-127.00
36,-0.462,-0.220,9.917,-127.00
40,-0.464,-0.218,9.914,-127.00
44,-0.464,-0.220,9.917,-127.00
48,-0.464,-0.225,9.922,-127.00
52,-0.464,-0.225,9.924,-127.00
55,-0.467,-0.225,9.919,-127.00
59,-0.467,-0.225,9.919,-127.00
64,-0.467,-0.225,9.917,-127.00
68,-0.462,-0.220,9.922,-127.00
72,-0.464,-0.218,9.924,-127.00
76,-0.464,-0.220,9.926,-127.00
80,-0.467,-0.223,9.929,-127.00
84,-0.467,-0.223,9.929,-127.00
87,-0.464,-0.223,9.922,-127.00
91,-0.462,-0.220,9.922,-127.00
95,-0.462,-0.220,9.919,-127.00
99,-0.464,-0.223,9.924,-127.00
103,-0.462,-0.223,9.926,-127.00
106,-0.460,-0.223,9.931,-127.00
110,-0.460,-0.225,9.934,-127.00
114,-0.460,-0.225,9.931,-127.00
118,-0.460,-0.225,9.926,-127.00
122,-0.460,-0.227,9.924,-127.00
129,-0.457,-0.225,9.924,-127.00
133,-0.457,-0.223,9.922,-127.00
137,-0.460,-0.223,9.922,-127.00
140,-0.460,-0.223,9.914,-127.00
144,-0.462,-0.225,9.912,-127.00
148,-0.464,-0.225,9.912,-127.00
152,-0.464,-0.227,9.910,-127.00
156,-0.464,-0.230,9.914,-127.00
159,-0.462,-0.225,9.914,-127.00
163,-0.464,-0.225,9.914,-127.00
167,-0.462,-0.225,9.917,-127.00
171,-0.462,-0.227,9.919,-127.00
175,-0.462,-0.227,9.922,-127.00
178,-0.460,-0.227,9.924,-127.00
182,-0.460,-0.230,9.926,-127.00
187,-0.460,-0.227,9.926,-127.00
191,-0.462,-0.232,9.922,-127.00
195,-0.464,-0.237,9.919,-127.00
199,-0.469,-0.237,9.919,-127.00
203,-0.467,-0.242,9.919,-127.00
207,-0.469,-0.242,9.919,-127.00
210,-0.469,-0.242,9.917,-127.00
214,-0.467,-0.239,9.914,-127.00
218,-0.472,-0.235,9.926,-127.00
222,-0.469,-0.235,9.929,-127.00
226,-0.469,-0.235,9.926,-127.00
229,-0.464,-0.235,9.926,-127.00
233,-0.467,-0.232,9.926,-127.00
237,-0.467,-0.230,9.924,-127.00
241,-0.467,-0.230,9.922,-127.00
245,-0.467,-0.230,9.919,-127.00
251,-0.467,-0.235,9.919,-127.00
256,-0.464,-0.235,9.914,-127.00
259,-0.464,-0.230,9.914,-127.00
263,-0.464,-0.227,9.922,-127.00
267,-0.464,-0.227,9.924,-127.00
271,-0.467,-0.230,9.924,-127.00
275,-0.469,-0.227,9.924,-127.00
278,-0.469,-0.230,9.922,-127.00
282,-0.472,-0.230,9.926,-127.00
286,-0.472,-0.230,9.926,-127.00
290,-0.464,-0.230,9.924,-127.00
294,-0.462,-0.227,9.924,-127.00
297,-0.462,-0.232,9.924,-127.00
301,-0.460,-0.232,9.924,-127.00
305,-0.460,-0.235,9.922,-127.00
309,-0.460,-0.235,9.917,-127.00
314,-0.462,-0.235,9.919,-127.00
318,-0.462,-0.235,9.922,-127.00
322,-0.464,-0.235,9.922,-127.00
326,-0.462,-0.237,9.919,-127.00
329,-0.462,-0.232,9.919,-127.00
333,-0.462,-0.232,9.922,-127.00
337,-0.460,-0.232,9.922,-127.00
341,-0.462,-0.237,9.914,-127.00
345,-0.462,-0.235,9.912,-127.00
348,-0.460,-0.235,9.905,-127.00
352,-0.460,-0.232,9.902,-127.00
356,-0.457,-0.232,9.910,-127.00
360,-0.455,-0.235,9.910,-127.00
364,-0.457,-0.235,9.917,-127.00
367,-0.450,-0.237,9.919,-127.00
374,-0.453,-0.239,9.917,-127.00
378,-0.457,-0.239,9.917,-127.00
382,-0.460,-0.239,9.912,-127.00
386,-0.462,-0.242,9.912,-127.00
390,-0.457,-0.242,9.912,-127.00
394,-0.457,-0.242,9.912,-127.00
397,-0.453,-0.244,9.914,-127.00
401,-0.457,-0.242,9.917,-127.00
405,-0.457,-0.235,9.917,-127.00
